"ISIN","Symbol","ConId","Currency","PrimaryExchange","BestExchange","Rows","FirstDate","LastDate","LastClose"
"KYG8875G1029","83B","506927751","EUR","SWB2","SMART","90","2026-04-10","2026-08-14","1.853"
"KYG8878S1030","TYG","221550165","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","1.41"
"KYG9593A1040","4WF","449340554","EUR","SWB2","SMART","90","2026-04-10","2026-08-14","3.46"
"KYG960071028","0WH","537458277","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","0.8202"
"KYG9687V2040","0BF0","776339232","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","0.694"
"KYG9828G1082","XI9","517788176","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","0.963"
"KYG9835C1087","4YE","490112277","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","0.536"
"KYG9894K1085","5Z0","451697862","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","0.492"
"KYG9T20A1060","36W","460091025","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","0.123"
"LU0136240974","UIM5","16015185","EUR","IBIS","SMART","90","2026-04-10","2026-08-14","69.93"
"LU0136242590","UIM3","14711498","EUR","IBIS","SMART","69","2026-04-10","2026-08-13","116.46"
"LU0147308422","UIM4","16015183","EUR","IBIS","SMART","90","2026-04-10","2026-08-14","220.2"
"LU0290356954","DBXQ","53507356","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","206.32"
"LU0290357259","X710","51289507","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","251.11"
"LU0290357846","DBXG","48701963","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","242.77"
"LU0292109690","DBX7","46625887","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","209.26"
"LU0322252924","XFVT","49561449","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","34.164"
"LU0411075376","DBPE","74869647","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","313.94"
"LU0468896575","D5BB","74992179","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","164.57"
"LU0468897110","D5BC","74992074","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","138.656"
"LU0478205379","D5BG","76668392","EUR","IBIS2","SMART","89","2026-04-13","2026-08-14","163.28"
"LU0484968812","XB4F","80814689","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","142.08"
"LU0484969463","XBAT","80814386","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","206.12"
